   0.0 TEL | Telepresence 0.105 launched at Mon May 25 16:09:42 2020
   0.0 TEL |   /usr/local/bin/telepresence
   0.0 TEL | uname: uname_result(system='Darwin', node='zhangrongdeMBP.lan', release='19.4.0', version='Darwin Kernel Version 19.4.0: Wed Mar  4 22:28:40 PST 2020; root:xnu-6153.101.6~15/RELEASE_X86_64', machine='x86_64', processor='i386')
   0.0 TEL | Platform: darwin
   0.0 TEL | WSL: False
   0.0 TEL | Python 3.7.7 (default, Mar 10 2020, 15:43:33)
   0.0 TEL | [Clang 11.0.0 (clang-1100.0.33.17)]
   0.1 TEL | BEGIN SPAN main.py:40(main)
   0.1 TEL | BEGIN SPAN startup.py:83(set_kube_command)
   0.1 TEL | Found kubectl -> /usr/local/bin/kubectl
   0.1 TEL | [1] Capturing: kubectl config current-context
   0.1 TEL | [1] captured in 0.05 secs.
   0.1 TEL | [2] Capturing: kubectl --context zhongtai-k8s version --short
   0.4 TEL | [2] captured in 0.28 secs.
   0.4 TEL | [3] Capturing: kubectl --context zhongtai-k8s config view -o json
   0.4 TEL | [3] captured in 0.05 secs.
   0.4 TEL | [4] Capturing: kubectl --context zhongtai-k8s get ns default
   0.7 TEL | [4] captured in 0.25 secs.
   0.7 TEL | [5] Capturing: kubectl --context zhongtai-k8s api-versions
   1.0 TEL | [5] captured in 0.33 secs.
   1.0 TEL | Command: kubectl 1.16.6-beta.0
   1.0 TEL | Context: zhongtai-k8s, namespace: default, version: 1.15.6
   1.0 TEL | END SPAN startup.py:83(set_kube_command)    1.0s
   1.0 TEL | Found ssh -> /usr/bin/ssh
   1.0 TEL | [6] Capturing: ssh -V
   1.0 TEL | [6] captured in 0.02 secs.
   1.0 TEL | Found bash -> /bin/bash
   1.0 TEL | Found sshuttle-telepresence -> /usr/local/Cellar/telepresence/0.105/libexec/sshuttle-telepresence
   1.0 TEL | Found pfctl -> /sbin/pfctl
   1.0 TEL | Found sudo -> /usr/bin/sudo
   1.0 TEL | [7] Running: sudo -n echo -n
   1.1 TEL | [7] ran in 0.02 secs.
   1.1 >>> | Starting proxy with method 'vpn-tcp', which has the following limitations: All processes are affected, only one telepresence can run per machine, and you can't use other VPNs. You may need to add cloud hosts and headless services with --also-proxy. For a full list of method limitations see https://telepresence.io/reference/methods.html
   1.1 TEL | Found sshfs -> /usr/local/bin/sshfs
   1.1 TEL | Found umount -> /sbin/umount
   1.1 >>> | Volumes are rooted at $TELEPRESENCE_ROOT. See https://telepresence.io/howto/volumes.html for details.
   1.1 TEL | [8] Running: kubectl --context zhongtai-k8s --namespace default get pods telepresence-connectivity-check --ignore-not-found
   1.3 TEL | [8] ran in 0.27 secs.
   2.7 TEL | Scout info: {'latest_version': '0.105', 'application': 'telepresence', 'notices': []}
   2.7 TEL | BEGIN SPAN deployment.py:182(create_new_deployment)
   2.7 >>> | Starting network proxy to cluster using new Deployment telepresence-1590394182-539615-13442
   2.7 TEL | [9] Running: kubectl --context zhongtai-k8s --namespace default delete --ignore-not-found svc,deploy --selector=telepresence=fb175b96372a4e9aa4c2a77c7fab4683
   2.9   9 | No resources found
   2.9 TEL | [9] ran in 0.27 secs.
   2.9 TEL | [10] Running: kubectl --context zhongtai-k8s --namespace default create -f -
   3.5  10 | deployment.apps/telepresence-1590394182-539615-13442 created
   3.5 TEL | [10] ran in 0.52 secs.
   3.5 TEL | END SPAN deployment.py:182(create_new_deployment)    0.8s
   3.5 TEL | BEGIN SPAN remote.py:142(get_remote_info)
   3.5 TEL | BEGIN SPAN remote.py:75(get_deployment_json)
   3.5 TEL | [11] Capturing: kubectl --context zhongtai-k8s --namespace default get deployment -o json --selector=telepresence=fb175b96372a4e9aa4c2a77c7fab4683
   3.8 TEL | [11] captured in 0.29 secs.
   3.8 TEL | END SPAN remote.py:75(get_deployment_json)    0.3s
   3.8 TEL | Searching for Telepresence pod:
   3.8 TEL |   with name telepresence-1590394182-539615-13442-*
   3.8 TEL |   with labels {'telepresence': 'fb175b96372a4e9aa4c2a77c7fab4683'}
   3.8 TEL | [12] Capturing: kubectl --context zhongtai-k8s --namespace default get pod -o json --selector=telepresence=fb175b96372a4e9aa4c2a77c7fab4683
   4.1 TEL | [12] captured in 0.33 secs.
   4.1 TEL | Checking telepresence-1590394182-539615-13442-7f7794b5c9-s2qlq
   4.1 TEL | Looks like we've found our pod!
   4.1 TEL | BEGIN SPAN remote.py:104(wait_for_pod)
   4.1 TEL | [13] Capturing: kubectl --context zhongtai-k8s --namespace default get pod telepresence-1590394182-539615-13442-7f7794b5c9-s2qlq -o json
   4.4 TEL | [13] captured in 0.32 secs.
   4.7 TEL | [14] Capturing: kubectl --context zhongtai-k8s --namespace default get pod telepresence-1590394182-539615-13442-7f7794b5c9-s2qlq -o json
   5.0 TEL | [14] captured in 0.36 secs.
   5.3 TEL | [15] Capturing: kubectl --context zhongtai-k8s --namespace default get pod telepresence-1590394182-539615-13442-7f7794b5c9-s2qlq -o json
   5.6 TEL | [15] captured in 0.27 secs.
   5.8 TEL | [16] Capturing: kubectl --context zhongtai-k8s --namespace default get pod telepresence-1590394182-539615-13442-7f7794b5c9-s2qlq -o json
   6.1 TEL | [16] captured in 0.26 secs.
   6.3 TEL | [17] Capturing: kubectl --context zhongtai-k8s --namespace default get pod telepresence-1590394182-539615-13442-7f7794b5c9-s2qlq -o json
   6.6 TEL | [17] captured in 0.27 secs.
